,Date,Country,City,Specie,count,min,max,median,variance
713913,21/05/2020,IN,Thrissur,pm10,72,3.0,56.0,18.0,1357.43
713914,12/03/2020,IN,Thrissur,pm10,24,27.0,77.0,54.0,1729.55
713915,20/03/2020,IN,Thrissur,pm10,24,53.0,79.0,65.0,455.63
713916,01/04/2020,IN,Thrissur,pm10,71,35.0,65.0,51.0,621.94
713917,09/05/2020,IN,Thrissur,pm10,72,8.0,74.0,34.0,2178.86
713918,23/05/2020,IN,Thrissur,pm10,72,16.0,66.0,48.0,1177.18
713919,16/02/2020,IN,Thrissur,pm10,24,50.0,89.0,65.0,1039.84
713920,01/02/2020,IN,Thrissur,pm10,24,53.0,110.0,74.0,2546.5
713921,03/02/2020,IN,Thrissur,pm10,24,51.0,100.0,72.0,1366.94
713922,30/05/2020,IN,Thrissur,pm10,72,11.0,66.0,29.0,1822.94
713923,28/06/2020,IN,Thrissur,pm10,72,8.0,57.0,21.0,2026.28
713924,11/01/2020,IN,Thrissur,pm10,24,44.0,162.0,84.0,11367.2
713925,19/02/2020,IN,Thrissur,pm10,24,41.0,169.0,98.0,12971.7
713926,22/04/2020,IN,Thrissur,pm10,70,8.0,61.0,27.0,1778.05
713927,19/05/2020,IN,Thrissur,pm10,70,13.0,88.0,41.0,2629.56
713928,31/01/2020,IN,Thrissur,pm10,24,53.0,95.0,71.0,1417.97
713929,13/01/2020,IN,Thrissur,pm10,24,56.0,196.0,73.0,14106.9
713930,15/03/2020,IN,Thrissur,pm10,24,53.0,81.0,63.0,522.59
713931,25/03/2020,IN,Thrissur,pm10,24,37.0,60.0,45.0,392.16
713932,20/04/2020,IN,Thrissur,pm10,70,12.0,51.0,32.0,946.75
713933,01/01/2020,IN,Thrissur,pm10,24,67.0,136.0,89.0,2980.85
713934,10/02/2020,IN,Thrissur,pm10,24,41.0,128.0,57.0,6600.87
713935,05/03/2020,IN,Thrissur,pm10,24,56.0,86.0,70.0,743.41
713936,10/06/2020,IN,Thrissur,pm10,72,14.0,66.0,41.0,1620.19
713937,25/06/2020,IN,Thrissur,pm10,72,7.0,67.0,28.0,2095.58
713938,04/01/2020,IN,Thrissur,pm10,24,60.0,108.0,75.0,1780.42
713939,08/04/2020,IN,Thrissur,pm10,72,21.0,70.0,39.0,1391.26
713940,12/04/2020,IN,Thrissur,pm10,64,13.0,58.0,33.0,1490.0
713941,13/04/2020,IN,Thrissur,pm10,48,29.0,85.0,48.0,1410.85
713942,22/01/2020,IN,Thrissur,pm10,16,4.0,117.0,75.0,7054.62
713943,14/04/2020,IN,Thrissur,pm10,49,33.0,66.0,46.0,596.22
713944,13/06/2020,IN,Thrissur,pm10,72,12.0,77.0,38.0,1836.62
713945,14/06/2020,IN,Thrissur,pm10,68,9.0,49.0,18.0,937.15
