date,pm25,pm10,o3,no2,so2,co,city
18/05/2020,56,31,7,3,2,8,coimbatore
19/05/2020,86,38,10,15,2,7,coimbatore
20/05/2020,80,15,6,25,2,7,coimbatore
21/05/2020,43,10,8,16,3,10,coimbatore
22/05/2020,32,36,8,21,3,8,coimbatore
23/05/2020,69,29,8,19,3,7,coimbatore
24/05/2020,69,34,11,21,3,7,coimbatore
25/05/2020,78,37,10,22,3,7,coimbatore
26/05/2020,77,40,9,24,2,8,coimbatore
27/05/2020,90,35,11,21,2,7,coimbatore
28/05/2020,77,23,11,24,2,8,coimbatore
29/05/2020,58,25,7,26,2,8,coimbatore
30/05/2020,79,4,6,32,2,8,coimbatore
31/05/2020,25,24,9,16,2,8,coimbatore
01/06/2020,94,35,21,0,4,1,coimbatore
02/06/2020,116,44,34,26,4,2,coimbatore
03/06/2020,93,48,25,19,4,5,coimbatore
04/06/2020,69,14,10,28,2,4,coimbatore
05/06/2020,75,27,11,17,3,12,coimbatore
06/06/2020,49,14,7,15,2,9,coimbatore
07/06/2020,58,33,2,8,2,0,coimbatore
13/06/2020,51,11,4,14,3,4,coimbatore
14/06/2020,41,19,5,17,2,4,coimbatore
15/06/2020,55,18,6,17,2,4,coimbatore
16/06/2020,51,18,4,21,2,4,coimbatore
17/06/2020,55,20,5,18,2,4,coimbatore
18/06/2020,61,20,4,18,2,4,coimbatore
19/06/2020,57,18,6,15,2,4,coimbatore
20/06/2020,56,12,4,15,2,4,coimbatore
21/06/2020,34,16,6,16,2,4,coimbatore
22/06/2020,54,17,6,21,3,5,coimbatore
23/06/2020,57,23,6,22,2,5,coimbatore
24/06/2020,67,23,6,23,2,5,coimbatore
25/06/2020,64,16,6,23,2,4,coimbatore
26/06/2020,52,22,7,18,2,4,coimbatore
27/06/2020,72,12,5,20,2,4,coimbatore
28/06/2020,52,18,4,21,2,5,coimbatore
29/06/2020,62,27,7,17,2,4,coimbatore
30/06/2020,86,15,5,17,2,4,coimbatore
01/07/2020,81,48,26,3,4,2,coimbatore
02/07/2020,107,41,35,21,3,1,coimbatore
03/07/2020,115,35,28,18,3,4,coimbatore
04/07/2020,57,22,12,26,2,4,coimbatore
05/07/2020,77,28,11,20,3,12,coimbatore
06/07/2020,46,27,12,18,2,6,coimbatore
07/07/2020,81,32,3,3,0,0,coimbatore
13/07/2020,62,35,4,3,0,0,coimbatore
14/07/2020,68,45,3,2,0,0,coimbatore
15/07/2020,106,16,2,4,1,0,coimbatore
16/07/2020,52,24,2,4,1,0,coimbatore
17/07/2020,73,38,2,4,2,2,coimbatore
18/07/2020,102,25,3,3,1,0,coimbatore
19/07/2020,59,41,4,2,0,0,coimbatore
20/07/2020,80,34,3,2,0,0,coimbatore
21/07/2020,79,35,5,2,0,0,coimbatore
22/07/2020,71,44,4,2,0,0,coimbatore
23/07/2020,105,80,3,1,0,0,coimbatore
24/07/2020,191,34,6,1,1,0,coimbatore
25/07/2020,1,0,0,0,0,0,coimbatore
26/07/2020,0,40,7,16,2,2,coimbatore
27/07/2020,106,21,2,23,2,0,coimbatore
28/07/2020,79,0,0,0,0,0,coimbatore
03/01/2020,197,117,8,13,6,8,guwahati
04/01/2020,199,143,30,6,8,6,guwahati
05/01/2020,72,32,17,5,7,3,guwahati
06/01/2020,75,33,19,2,7,4,guwahati
07/01/2020,76,34,9,4,8,3,guwahati
13/01/2020,214,228,7,6,6,17,guwahati
14/01/2020,263,365,7,6,6,33,guwahati
15/01/2020,379,145,7,5,6,18,guwahati
16/01/2020,221,128,7,6,7,12,guwahati
17/01/2020,194,165,9,7,7,13,guwahati
18/01/2020,218,116,7,6,7,11,guwahati
19/01/2020,184,82,10,4,6,5,guwahati
20/01/2020,161,124,10,5,6,8,guwahati
21/01/2020,198,135,10,7,6,12,guwahati
22/01/2020,197,137,7,8,6,11,guwahati
23/01/2020,203,201,8,8,7,16,guwahati
24/01/2020,246,191,7,7,6,16,guwahati
25/01/2020,231,164,7,5,6,15,guwahati
26/01/2020,219,162,10,8,7,14,guwahati
27/01/2020,212,207,7,8,6,17,guwahati
28/01/2020,0,223,9,10,7,17,guwahati
29/01/2020,248,142,7,7,6,14,guwahati
30/01/2020,207,78,7,4,6,5,guwahati
31/01/2020,151,120,7,4,6,11,guwahati
01/02/2020,138,74,7,4,6,6,guwahati
02/02/2020,176,127,13,10,7,10,guwahati
03/02/2020,161,65,7,12,6,4,guwahati
04/02/2020,208,146,19,6,7,4,guwahati
05/02/2020,71,36,21,3,7,2,guwahati
06/02/2020,69,26,22,3,7,3,guwahati
07/02/2020,76,24,10,2,7,3,guwahati
13/02/2020,200,165,8,12,6,11,guwahati
14/02/2020,205,181,8,14,6,12,guwahati
15/02/2020,219,191,7,11,6,14,guwahati
16/02/2020,261,191,7,11,7,16,guwahati
17/02/2020,254,202,8,6,7,11,guwahati
18/02/2020,218,87,7,6,6,5,guwahati
19/02/2020,170,113,7,8,7,11,guwahati
20/02/2020,192,116,7,8,7,10,guwahati
21/02/2020,182,129,7,8,7,11,guwahati
