Date,Country,City,Specie,count,min,max,median,variance
27/01/2015,IN,Bengaluru,co,4,5.2,21.8,12.6,461.17
28/01/2015,IN,Bengaluru,co,8,7,37,14.1,926.71
29/01/2015,IN,Bengaluru,co,6,0.3,5.7,1.1,47.88
02/02/2015,IN,Bengaluru,co,16,0.6,12.7,2.2,148.71
03/02/2015,IN,Bengaluru,co,8,0.1,5.1,0.6,28.62
05/02/2015,IN,Bengaluru,co,3,0.1,8.1,1,192.03
06/02/2015,IN,Bengaluru,co,3,1.2,12,11.8,381.73
09/02/2015,IN,Bengaluru,co,3,0.2,9.4,7.4,234.13
11/02/2015,IN,Bengaluru,co,9,0.1,12.3,1.8,228.73
12/02/2015,IN,Bengaluru,co,2,1.3,8.8,1.3,281.25
13/02/2015,IN,Bengaluru,co,8,0.1,13.6,0.9,210.37
14/02/2015,IN,Bengaluru,co,20,0.1,34,5.5,687.16
15/02/2015,IN,Bengaluru,co,6,0.2,13.3,3.8,278.44
16/02/2015,IN,Bengaluru,co,12,0.3,6.5,1.2,38.79
19/02/2015,IN,Bengaluru,co,2,0.1,0.9,0.1,3.2
20/02/2015,IN,Bengaluru,co,2,0.2,0.5,0.2,0.45
21/02/2015,IN,Bengaluru,co,17,0.2,23,8.4,664.14
22/02/2015,IN,Bengaluru,co,3,0.9,23.6,1.3,1687.9
23/02/2015,IN,Bengaluru,co,11,0.5,51.1,11.8,2871.31
24/02/2015,IN,Bengaluru,co,16,0.6,212.1,10.3,68045.9
25/02/2015,IN,Bengaluru,co,10,1.5,20.9,10.7,466.87
26/02/2015,IN,Bengaluru,co,10,0.8,31.5,6.8,880.69
27/02/2015,IN,Bengaluru,co,9,0.4,25.4,7.7,808.58
28/02/2015,IN,Bengaluru,co,17,1,29,3.4,494.4
01/03/2015,IN,Bengaluru,co,7,0.5,41.2,14.2,1815.7
03/03/2015,IN,Bengaluru,co,2,0.1,3.3,0.1,51.2
04/03/2015,IN,Bengaluru,co,6,3.2,15.3,5.1,204.06
10/03/2015,IN,Bengaluru,co,7,0.2,11.2,2.3,185.72
11/03/2015,IN,Bengaluru,co,8,0.8,5.8,2.3,30.46
12/03/2015,IN,Bengaluru,co,6,1.2,9,3.4,94.98
13/03/2015,IN,Bengaluru,co,15,0.3,11,5.6,139.69
14/03/2015,IN,Bengaluru,co,6,1.1,8.1,2.4,97.24
16/03/2015,IN,Bengaluru,co,9,0.1,11.4,7.5,180.14
17/03/2015,IN,Bengaluru,co,6,0.3,12.7,1.9,206.79
18/03/2015,IN,Bengaluru,co,4,1.5,10.6,5.9,151.29
19/03/2015,IN,Bengaluru,co,12,0.2,24.4,2,470.25
20/03/2015,IN,Bengaluru,co,5,0.3,20.7,10,765.78
23/03/2015,IN,Bengaluru,co,2,5.5,8.7,5.5,51.2
24/03/2015,IN,Bengaluru,co,7,1.6,18.3,9.3,301.06
26/03/2015,IN,Bengaluru,co,5,2.9,7.8,6,37.85
27/03/2015,IN,Bengaluru,co,7,1.6,19.6,2.9,490.83
28/03/2015,IN,Bengaluru,co,3,0.9,16.1,1,765.1
31/03/2015,IN,Bengaluru,co,2,2.2,6.5,2.2,92.45
01/04/2015,IN,Bengaluru,co,2,0.3,3.3,0.3,45
02/04/2015,IN,Bengaluru,co,3,2.4,25.8,13.3,1371.03
03/04/2015,IN,Bengaluru,co,6,0.5,5.4,2.6,37.59
04/04/2015,IN,Bengaluru,co,8,0.9,24.3,2.5,623.04
06/04/2015,IN,Bengaluru,co,9,1.2,11,7.2,111.47
07/04/2015,IN,Bengaluru,co,9,0.1,9.9,5.6,107.4
08/04/2015,IN,Bengaluru,co,10,0.1,10.4,1.3,117.86
09/04/2015,IN,Bengaluru,co,9,0.4,21.2,6.3,420.06
10/04/2015,IN,Bengaluru,co,18,0.4,28.3,5.2,393.38
11/04/2015,IN,Bengaluru,co,14,0.2,15.5,4.2,225.91
12/04/2015,IN,Bengaluru,co,7,3.3,23.3,7.9,455.7
15/04/2015,IN,Bengaluru,co,6,0.6,27.3,5.2,1442.22
16/04/2015,IN,Bengaluru,co,10,0.4,6.9,3.6,58.74
17/04/2015,IN,Bengaluru,co,10,2.5,11.3,4.2,86.65
18/04/2015,IN,Bengaluru,co,18,0.2,58.9,3.3,1813.38
19/04/2015,IN,Bengaluru,co,2,5.1,5.9,5.1,3.2
20/04/2015,IN,Bengaluru,co,8,0.2,8.9,0.7,99.63
21/04/2015,IN,Bengaluru,co,3,3,8.8,3.5,103.3
22/04/2015,IN,Bengaluru,co,4,3.3,99.8,3.8,22373.9
23/04/2015,IN,Bengaluru,co,3,0.9,5.3,2.9,48.53
24/04/2015,IN,Bengaluru,co,9,3.6,25.3,8.5,432.9
25/04/2015,IN,Bengaluru,co,7,2.1,15.4,13.1,384.33
26/04/2015,IN,Bengaluru,co,9,0.4,22.9,5,588.01
27/04/2015,IN,Bengaluru,co,11,1,22,5.1,401.2
28/04/2015,IN,Bengaluru,co,8,0.2,9.3,3.8,76.51
29/04/2015,IN,Bengaluru,co,4,2.1,22.9,3.4,915.77
01/05/2015,IN,Bengaluru,co,5,1.6,158.8,6.4,47531.3
02/05/2015,IN,Bengaluru,co,11,0.1,163.5,3.5,23385.4
03/05/2015,IN,Bengaluru,co,17,1.1,48.6,4.7,1371.55
04/05/2015,IN,Bengaluru,co,11,0.1,28,4.9,854.44
05/05/2015,IN,Bengaluru,co,12,1,185.1,2.6,29766.2
06/05/2015,IN,Bengaluru,co,14,0.4,7.2,3.6,30.46
07/05/2015,IN,Bengaluru,co,27,0.4,11,4.7,64.56
08/05/2015,IN,Bengaluru,co,7,1,8.7,5.2,87.86
09/05/2015,IN,Bengaluru,co,12,0.3,6.5,2.9,33.81
10/05/2015,IN,Bengaluru,co,19,0.3,11.1,3.6,58.99
11/05/2015,IN,Bengaluru,co,19,0.1,12.6,3.5,84.47
12/05/2015,IN,Bengaluru,co,17,0.3,7.8,2.7,37.68
13/05/2015,IN,Bengaluru,co,15,0.1,8.3,2.6,77.41
14/05/2015,IN,Bengaluru,co,16,0.6,24.9,3.4,328.36
15/05/2015,IN,Bengaluru,co,26,0.2,9.4,2.9,58.62
16/05/2015,IN,Bengaluru,co,25,1.2,6.5,2.8,22.55
17/05/2015,IN,Bengaluru,co,15,0.2,16.3,2.7,171.06
18/05/2015,IN,Bengaluru,co,25,0.2,9.3,2.7,73.19
19/05/2015,IN,Bengaluru,co,24,0.7,26,2.9,487.99
20/05/2015,IN,Bengaluru,co,27,0.4,11.6,5.2,72.77
21/05/2015,IN,Bengaluru,co,20,1.3,31.5,4,698.4
22/05/2015,IN,Bengaluru,co,23,0.2,26.2,4.2,442.29
23/05/2015,IN,Bengaluru,co,19,0.2,205.5,4.5,29310.2
24/05/2015,IN,Bengaluru,co,19,0.5,59.8,4.3,1840.54
25/05/2015,IN,Bengaluru,co,40,0.6,34,7.3,440.43
26/05/2015,IN,Bengaluru,co,60,0.1,18.5,3.2,197.64
27/05/2015,IN,Bengaluru,co,39,0.1,45.5,3.4,695.19
28/05/2015,IN,Bengaluru,co,17,0.5,64.6,6.4,2244.74
29/05/2015,IN,Bengaluru,co,36,0.4,18.6,3.8,236.71
