date,pm25,pm10,o3,no2,so2,co,city
2020-04-30,93,48,159,21,6,1,vapi
2020-05-01,89,42,5,15,13,2,vapi
2020-05-02,80,38,7,9,8,2,vapi
2020-05-03,73,41,5,7,10,3,vapi
2020-05-04,72,46,6,6,9,4,vapi
2020-05-05,78,59,10,5,9,4,vapi
2020-05-06,88,53,7,3,11,5,vapi
2020-05-07,89,50,5,3,11,5,vapi
2020-05-08,82,47,5,3,10,3,vapi
2020-05-09,80,50,7,3,10,4,vapi
2020-05-10,91,46,6,3,9,3,vapi
2020-05-11,79,52,5,2,8,3,vapi
2020-05-12,86,54,6,1,13,4,vapi
2020-05-13,93,52,27,1,12,3,vapi
2020-05-14,88,56,6,2,11,3,vapi
2020-05-15,87,79,9,0,11,4,vapi
2020-05-16,132,83,13,1,16,3,vapi
2020-05-17,142,65,10,1,12,4,vapi
2020-05-18,110,56,6,0,13,3,vapi
2020-05-19,87,46,5,0,13,2,vapi
2020-05-20,75,51,4,0,13,3,vapi
2020-05-21,67,46,5,0,11,4,vapi
2020-05-22,68,46,12,1,13,6,vapi
2020-05-23,79,36,8,0,9,4,vapi
2020-05-24,55,45,8,0,10,5,vapi
2020-05-25,64,46,6,0,12,4,vapi
2020-05-26,55,41,4,0,13,5,vapi
2020-05-27,29,33,4,0,13,4,vapi
2020-05-28,20,16,4,0,13,5,vapi
2020-05-29,34,17,3,0,12,4,vapi
2020-05-30,54,26,4,0,12,3,vapi
2020-05-31,34,44,6,0,12,4,vapi
2020-06-01,86,55,6,0,12,6,vapi
2020-06-02,90,37,6,2,14,6,vapi
2020-06-03,63,22,6,0,14,4,vapi
2020-06-04,59,11,6,0,12,4,vapi
2020-06-05,50,19,8,0,12,3,vapi
2020-06-06,33,13,8,0,12,3,vapi
2020-06-07,23,18,6,0,10,3,vapi
2020-06-08,38,14,4,0,14,4,vapi
2020-06-09,50,20,3,0,13,4,vapi
2020-06-10,35,18,3,0,10,4,vapi
2020-06-11,13,26,3,0,12,4,vapi
2020-06-12,25,21,2,0,11,6,vapi
2020-06-13,29,16,1,0,3,9,vapi
2020-06-14,47,21,1,0,2,4,vapi
2020-06-15,54,29,2,0,2,5,vapi
2020-06-16,35,13,2,0,2,6,vapi
2020-06-17,27,8,1,0,1,7,vapi
2020-06-18,14,27,1,0,1,7,vapi
