,city,date,value
57,patiala,2019-11-27,-3.2969999999999997
58,patiala,2019-11-28,-8.055
59,patiala,2019-11-29,-11.202
60,patiala,2019-11-30,-19.55
61,patiala,2019-12-01,-15.612
62,patiala,2019-12-02,-2.6660000000000004
63,patiala,2019-12-03,-3.1239999999999997
64,patiala,2019-12-04,-8.306000000000001
65,patiala,2019-12-05,-12.690999999999999
66,patiala,2019-12-06,-9.181000000000001
67,patiala,2019-12-07,-6.686
68,patiala,2019-12-08,-6.968
69,patiala,2019-12-09,-5.327999999999999
70,patiala,2019-12-10,-5.777
71,patiala,2019-12-11,-10.743
72,patiala,2019-12-12,-12.296
73,patiala,2019-12-13,-9.689
74,patiala,2019-12-14,-8.337
75,patiala,2019-12-15,-9.854
76,patiala,2019-12-16,-7.596
77,patiala,2019-12-17,-8.825
78,patiala,2019-12-18,-11.959000000000001
79,patiala,2019-12-19,-8.859
80,patiala,2019-12-20,-5.792000000000001
81,patiala,2019-12-21,-6.176
82,patiala,2019-12-22,-3.8939999999999997
83,patiala,2019-12-23,-6.2620000000000005
84,patiala,2019-12-24,-6.346
85,patiala,2019-12-25,7.343
86,patiala,2019-12-26,4.516
87,patiala,2019-12-27,3.76
88,patiala,2019-12-28,-2.166
89,patiala,2019-12-29,-8.521
0,hisar,2019-10-01,-7.6579999999999995
1,hisar,2019-10-02,-1.138
2,hisar,2019-10-03,3.478
3,hisar,2019-10-04,2.7710000000000004
4,hisar,2019-10-05,0.731
5,hisar,2019-10-06,-3.159
6,hisar,2019-10-07,-0.6970000000000001
7,hisar,2019-10-08,-3.5069999999999997
8,hisar,2019-10-09,-8.17
9,hisar,2019-10-10,-8.638
10,hisar,2019-10-11,-2.102
11,hisar,2019-10-12,2.102
12,hisar,2019-10-13,-3.2489999999999997
13,hisar,2019-10-14,-5.303
14,hisar,2019-10-15,-3.487
15,hisar,2019-10-16,2.161
16,hisar,2019-10-17,5.513
17,hisar,2019-10-18,8.041
18,hisar,2019-10-19,7.364
19,hisar,2019-10-20,8.39
20,hisar,2019-10-21,9.932
21,hisar,2019-10-22,-3.3760000000000003
22,hisar,2019-10-23,0.302
23,hisar,2019-10-24,0.01
24,hisar,2019-10-25,1.295
25,hisar,2019-10-26,0.95
26,hisar,2019-10-27,-3.4539999999999997
27,hisar,2019-10-28,-2.258
28,hisar,2019-10-29,-0.201
29,hisar,2019-10-30,0.076
30,hisar,2019-10-31,-2.201
31,hisar,2019-11-01,-9.965
32,hisar,2019-11-02,-12.982000000000001
33,hisar,2019-11-03,-10.440999999999999
34,hisar,2019-11-04,-11.546
35,hisar,2019-11-05,-8.106
36,hisar,2019-11-06,-5.8
37,hisar,2019-11-07,-5.277
38,hisar,2019-11-08,-2.543
39,hisar,2019-11-09,4.225
40,hisar,2019-11-10,4.659
41,hisar,2019-11-11,5.007
42,hisar,2019-11-12,4.949
43,hisar,2019-11-13,-5.425
44,hisar,2019-11-14,-11.305
45,hisar,2019-11-15,-7.063
46,hisar,2019-11-16,2.178
47,hisar,2019-11-17,-4.079
48,hisar,2019-11-18,-3.7939999999999996
49,hisar,2019-11-19,6.277
50,hisar,2019-11-20,1.995
51,hisar,2019-11-21,-1.3459999999999999
52,hisar,2019-11-22,1.173
53,hisar,2019-11-23,3.733
54,hisar,2019-11-24,-0.7290000000000001
55,hisar,2019-11-25,-3.005
56,hisar,2019-11-26,-5.2829999999999995
57,hisar,2019-11-27,-3.05
58,hisar,2019-11-28,-5.155
