,city,date,value
57,patiala,2019-11-27,-5.056
58,patiala,2019-11-28,-0.6729999999999999
59,patiala,2019-11-29,8.965
60,patiala,2019-11-30,-4.605
61,patiala,2019-12-01,-4.355
62,patiala,2019-12-02,1.51
63,patiala,2019-12-03,-0.032
64,patiala,2019-12-04,6.723
65,patiala,2019-12-05,8.562999999999999
66,patiala,2019-12-06,-2.123
67,patiala,2019-12-07,-8.453
68,patiala,2019-12-08,-7.596
69,patiala,2019-12-09,-7.079
70,patiala,2019-12-10,-6.361000000000001
71,patiala,2019-12-11,4.258
72,patiala,2019-12-12,5.212000000000001
73,patiala,2019-12-13,2.98
74,patiala,2019-12-14,1.3319999999999999
75,patiala,2019-12-15,-2.27
76,patiala,2019-12-16,-5.03
77,patiala,2019-12-17,-8.517999999999999
78,patiala,2019-12-18,0.617
79,patiala,2019-12-19,-7.197
80,patiala,2019-12-20,-4.198
81,patiala,2019-12-21,-5.693
82,patiala,2019-12-22,-2.44
83,patiala,2019-12-23,7.645
84,patiala,2019-12-24,12.35
85,patiala,2019-12-25,-4.968
86,patiala,2019-12-26,-9.139
87,patiala,2019-12-27,3.67
88,patiala,2019-12-28,1.735
89,patiala,2019-12-29,-6.915
0,hisar,2019-10-01,-5.322
1,hisar,2019-10-02,-7.233
2,hisar,2019-10-03,-4.391
3,hisar,2019-10-04,-1.189
4,hisar,2019-10-05,1.476
5,hisar,2019-10-06,4.07
6,hisar,2019-10-07,5.86
7,hisar,2019-10-08,1.7069999999999999
8,hisar,2019-10-09,-3.437
9,hisar,2019-10-10,-1.8359999999999999
10,hisar,2019-10-11,-8.682
11,hisar,2019-10-12,-9.133
12,hisar,2019-10-13,-8.433
13,hisar,2019-10-14,-3.3480000000000003
14,hisar,2019-10-15,2.374
15,hisar,2019-10-16,3.327
16,hisar,2019-10-17,3.9739999999999998
17,hisar,2019-10-18,-2.977
18,hisar,2019-10-19,-10.021
19,hisar,2019-10-20,5.603
20,hisar,2019-10-21,-10.595999999999998
21,hisar,2019-10-22,-13.783
22,hisar,2019-10-23,-11.638
23,hisar,2019-10-24,-10.937000000000001
24,hisar,2019-10-25,-6.847
25,hisar,2019-10-26,-4.2669999999999995
26,hisar,2019-10-27,-5.934
27,hisar,2019-10-28,-10.115
28,hisar,2019-10-29,-9.922
29,hisar,2019-10-30,-6.31
30,hisar,2019-10-31,-2.785
31,hisar,2019-11-01,5.229
32,hisar,2019-11-02,0.564
33,hisar,2019-11-03,-6.542999999999999
34,hisar,2019-11-04,-7.272
35,hisar,2019-11-05,-7.414
36,hisar,2019-11-06,-2.7039999999999997
37,hisar,2019-11-07,-1.5830000000000002
38,hisar,2019-11-08,3.0060000000000002
39,hisar,2019-11-09,9.216000000000001
40,hisar,2019-11-10,-2.6510000000000002
41,hisar,2019-11-11,1.7
42,hisar,2019-11-12,4.14
43,hisar,2019-11-13,7.858
44,hisar,2019-11-14,3.077
45,hisar,2019-11-15,-4.189
46,hisar,2019-11-16,0.39299999999999996
47,hisar,2019-11-17,5.807
48,hisar,2019-11-18,9.099
49,hisar,2019-11-19,2.206
50,hisar,2019-11-20,1.885
51,hisar,2019-11-21,1.619
52,hisar,2019-11-22,-2.336
53,hisar,2019-11-23,1.088
54,hisar,2019-11-24,2.0140000000000002
55,hisar,2019-11-25,-2.312
56,hisar,2019-11-26,-6.093999999999999
57,hisar,2019-11-27,-5.541
58,hisar,2019-11-28,2.448
59,hisar,2019-11-29,8.908
60,hisar,2019-11-30,-5.103
61,hisar,2019-12-01,-4.646
62,hisar,2019-12-02,1.585
63,hisar,2019-12-03,-0.503
64,hisar,2019-12-04,7.3020000000000005
65,hisar,2019-12-05,9.176
66,hisar,2019-12-06,-0.307
67,hisar,2019-12-07,-8.477
68,hisar,2019-12-08,-9.245
69,hisar,2019-12-09,-9.016
70,hisar,2019-12-10,-6.615
71,hisar,2019-12-11,6.968
72,hisar,2019-12-12,6.497000000000001
73,hisar,2019-12-13,3.286
