Date,Country,City,Specie,count,min,max,median,variance
01/01/2018,IN,Bengaluru,co,74,1.8,34.4,9.4,309.57
02/01/2018,IN,Bengaluru,co,113,0.2,23.9,9.6,238.96
03/01/2018,IN,Bengaluru,co,110,0.4,27.7,11.4,349.97
04/01/2018,IN,Bengaluru,co,117,0.2,22.1,10,264.71
05/01/2018,IN,Bengaluru,co,117,0.2,26.1,10.5,220.48
06/01/2018,IN,Bengaluru,co,120,0.4,28,9.8,257.11
07/01/2018,IN,Bengaluru,co,120,0.2,19.3,10.3,212.14
08/01/2018,IN,Bengaluru,co,111,0.6,19.7,9.6,230.62
09/01/2018,IN,Bengaluru,co,120,0.4,22.5,10.2,251.99
10/01/2018,IN,Bengaluru,co,99,1.3,36.2,9.4,378.75
11/01/2018,IN,Bengaluru,co,143,1,18.3,10.2,159.94
12/01/2018,IN,Bengaluru,co,141,1.3,66.2,10.3,710.11
13/01/2018,IN,Bengaluru,co,144,1,18.1,9.8,173.64
14/01/2018,IN,Bengaluru,co,141,1.5,18.1,9.8,188.98
15/01/2018,IN,Bengaluru,co,142,0.6,18.7,9.5,187.26
16/01/2018,IN,Bengaluru,co,144,0.2,22.4,9.3,213.26
17/01/2018,IN,Bengaluru,co,140,0.8,18.7,9.4,198.99
18/01/2018,IN,Bengaluru,co,144,1,21.7,10.3,215.27
19/01/2018,IN,Bengaluru,co,144,0.4,23.9,12.5,307.14
20/01/2018,IN,Bengaluru,co,144,0.6,31.1,12.5,341.86
21/01/2018,IN,Bengaluru,co,144,1,22.5,11.5,291.67
22/01/2018,IN,Bengaluru,co,143,1.5,21.7,12.3,279.64
23/01/2018,IN,Bengaluru,co,141,1.3,71.4,13,874.05
24/01/2018,IN,Bengaluru,co,142,0.2,35.5,13.3,374.13
25/01/2018,IN,Bengaluru,co,144,0.8,27.3,11.4,292.05
26/01/2018,IN,Bengaluru,co,144,1.1,26.8,9.6,214.48
27/01/2018,IN,Bengaluru,co,144,0.4,54.5,10,450.99
28/01/2018,IN,Bengaluru,co,137,0.4,17.2,10.5,174.16
29/01/2018,IN,Bengaluru,co,143,2,26,11.4,219.47
30/01/2018,IN,Bengaluru,co,140,1.3,20,10.6,190.84
31/01/2018,IN,Bengaluru,co,144,0.9,60.4,11.4,503.6
01/02/2018,IN,Bengaluru,co,144,1,42.7,11.4,287.55
02/02/2018,IN,Bengaluru,co,144,0.2,23.9,11.8,187.54
03/02/2018,IN,Bengaluru,co,140,0.6,27.5,10.5,203.67
04/02/2018,IN,Bengaluru,co,125,1.1,19.6,11.6,215.47
05/02/2018,IN,Bengaluru,co,139,0.8,22,10.9,198.63
06/02/2018,IN,Bengaluru,co,138,1.9,16.7,10.2,177.46
07/02/2018,IN,Bengaluru,co,144,1.1,18.8,9.4,190.72
08/02/2018,IN,Bengaluru,co,144,1.7,27.2,12.5,275.61
09/02/2018,IN,Bengaluru,co,140,0.2,20.5,11.4,238.18
