Date,Country,City,Specie,count,min,max,median,variance
28/03/2019,IN,Bengaluru,co,238,2.4,86.4,8.3,790.87
29/03/2019,IN,Bengaluru,co,235,0.5,49,8.4,530.59
30/03/2019,IN,Bengaluru,co,238,1.2,42,7.3,501.16
31/03/2019,IN,Bengaluru,co,176,0.9,27.1,6.6,202.79
01/04/2019,IN,Bengaluru,co,200,1.7,31.9,7.3,256.18
02/04/2019,IN,Bengaluru,co,198,0.7,49.5,6.7,472.94
03/04/2019,IN,Bengaluru,co,196,0.5,25,7.1,159.42
04/04/2019,IN,Bengaluru,co,214,0.4,62.4,6.9,331.35
05/04/2019,IN,Bengaluru,co,203,1.2,30.9,8.3,219.62
06/04/2019,IN,Bengaluru,co,186,0.2,66.2,7.4,449.5
07/04/2019,IN,Bengaluru,co,180,1.9,34.7,8.2,235.85
08/04/2019,IN,Bengaluru,co,155,2.5,24.9,7.3,185.52
09/04/2019,IN,Bengaluru,co,149,2.2,86.4,6.9,1550.77
10/04/2019,IN,Bengaluru,co,198,1.1,47.5,8.1,541.72
11/04/2019,IN,Bengaluru,co,244,0.2,27.1,7,212.94
12/04/2019,IN,Bengaluru,co,248,1.3,66.6,7.1,397.5
13/04/2019,IN,Bengaluru,co,212,0.1,66.1,7.3,456.94
15/04/2019,IN,Bengaluru,co,258,1.2,86.4,6.5,742.69
16/04/2019,IN,Bengaluru,co,239,0.9,47.1,6.8,419.09
17/04/2019,IN,Bengaluru,co,215,1.2,86.4,7.4,657.1
18/04/2019,IN,Bengaluru,co,199,0.1,67.2,7.5,569.98
19/04/2019,IN,Bengaluru,co,188,0.1,36.8,6.8,299.11
20/04/2019,IN,Bengaluru,co,194,1.6,28.8,7.4,227.72
21/04/2019,IN,Bengaluru,co,212,0.1,40.5,6.7,391.64
22/04/2019,IN,Bengaluru,co,228,0.7,86.4,7.5,983.32
23/04/2019,IN,Bengaluru,co,235,0.3,86.4,7.9,1816.36
24/04/2019,IN,Bengaluru,co,239,0.7,86.4,7,1744.65
25/04/2019,IN,Bengaluru,co,261,0.5,86.4,7,1355.29
26/04/2019,IN,Bengaluru,co,218,1.2,66.3,7,555.9
27/04/2019,IN,Bengaluru,co,192,0.2,46,6.3,304.82
28/04/2019,IN,Bengaluru,co,227,1.2,46.2,7.5,399.67
29/04/2019,IN,Bengaluru,co,257,0.1,59.5,6.9,432.07
30/04/2019,IN,Bengaluru,co,227,0.3,57.4,6.3,417.24
01/05/2019,IN,Bengaluru,co,213,0.4,86.4,6.1,850.47
02/05/2019,IN,Bengaluru,co,235,0.3,46.4,5.9,428.1
03/05/2019,IN,Bengaluru,co,216,0.7,66.3,5.5,377.59
04/05/2019,IN,Bengaluru,co,238,0.5,46.2,5.8,387.5
05/05/2019,IN,Bengaluru,co,240,0.3,46.5,5.6,375.14
06/05/2019,IN,Bengaluru,co,239,1.3,46.1,5.9,231.73
07/05/2019,IN,Bengaluru,co,232,0.4,66.7,6.3,450.03
08/05/2019,IN,Bengaluru,co,161,1.3,44.7,5.9,340.88
09/05/2019,IN,Bengaluru,co,176,0.2,86.4,6.6,1744.77
10/05/2019,IN,Bengaluru,co,240,0.5,46,6.9,389.4
11/05/2019,IN,Bengaluru,co,236,0.2,49.6,7,455.61
12/05/2019,IN,Bengaluru,co,228,0.7,62.4,6.8,935.53
13/05/2019,IN,Bengaluru,co,204,1,46.9,5.9,486.45
14/05/2019,IN,Bengaluru,co,231,0.4,46.5,7,328.18
15/05/2019,IN,Bengaluru,co,237,0.4,46.7,7,573.47
16/05/2019,IN,Bengaluru,co,240,0.6,46.4,7.4,722.53
17/05/2019,IN,Bengaluru,co,243,0.6,46.3,7.7,745.89
18/05/2019,IN,Bengaluru,co,237,0.4,50.8,6.8,853.16
19/05/2019,IN,Bengaluru,co,215,0.4,66.1,6.8,634.25
20/05/2019,IN,Bengaluru,co,243,0.4,46.8,7.7,550.74
21/05/2019,IN,Bengaluru,co,263,1.3,46.6,7,324.5
22/05/2019,IN,Bengaluru,co,255,1,86.4,7.2,1043.92
23/05/2019,IN,Bengaluru,co,236,0.8,36.9,7,362.35
24/05/2019,IN,Bengaluru,co,257,1.7,46.2,6.6,304.64
25/05/2019,IN,Bengaluru,co,261,0.6,47.7,6.2,187.61
26/05/2019,IN,Bengaluru,co,240,1.1,66.9,5.6,270.53
27/05/2019,IN,Bengaluru,co,212,1,47.9,6.6,460.8
28/05/2019,IN,Bengaluru,co,249,0.4,29.6,6.8,233.23
29/05/2019,IN,Bengaluru,co,232,0.8,30.4,6,142.28
30/05/2019,IN,Bengaluru,co,236,0.6,47.3,5.7,225.36
31/05/2019,IN,Bengaluru,co,256,0.2,46.9,5.8,265.93
01/06/2019,IN,Bengaluru,co,255,0.8,50,7.2,615.92
02/06/2019,IN,Bengaluru,co,251,0.6,46.9,5.8,407.97
03/06/2019,IN,Bengaluru,co,256,1,67.5,6.1,468.86
04/06/2019,IN,Bengaluru,co,241,0.8,25.8,5.8,203.46
05/06/2019,IN,Bengaluru,co,197,1,47,5.6,215.5
06/06/2019,IN,Bengaluru,co,170,0.9,67.1,7.2,747.37
