Date,Country,City,Specie,count,min,max,median,variance
28/02/2020,IN,Hyderabad,no2,96,3,32.7,12.2,405.29
09/03/2020,IN,Hyderabad,no2,120,0.3,27.1,8.2,403.07
06/04/2020,IN,Hyderabad,no2,95,0.1,31.2,6.1,848.08
11/04/2020,IN,Hyderabad,no2,113,0.2,500,7.4,43973
08/05/2020,IN,Hyderabad,no2,120,0.8,23.1,7.8,492.57
03/01/2020,IN,Hyderabad,no2,112,1.6,34.3,10,341.2
07/02/2020,IN,Hyderabad,no2,120,1.9,497.8,11.1,35233.5
11/03/2020,IN,Hyderabad,no2,120,2.5,26.5,10.4,335.67
26/04/2020,IN,Hyderabad,no2,120,0.7,22.5,4.3,523.17
19/05/2020,IN,Hyderabad,no2,120,2.6,33.4,10.2,641.5
14/01/2020,IN,Hyderabad,no2,72,3.1,44,15.6,906.5
21/01/2020,IN,Hyderabad,no2,105,3.5,34,12.9,560.02
01/02/2020,IN,Hyderabad,no2,98,1.6,79.3,13.9,2946.03
16/02/2020,IN,Hyderabad,no2,96,2,63.2,16.8,1341.93
03/03/2020,IN,Hyderabad,no2,36,2.1,31,13.4,596.56
12/04/2020,IN,Hyderabad,no2,119,0.1,500,9.3,34882.8
29/05/2020,IN,Hyderabad,no2,108,0.5,23.8,8.1,543.8
04/01/2020,IN,Hyderabad,no2,120,2.9,32,10.9,414.37
29/02/2020,IN,Hyderabad,no2,110,1,33.3,10.9,509.16
13/03/2020,IN,Hyderabad,no2,120,1.7,21.8,9.5,261.75
20/03/2020,IN,Hyderabad,no2,120,0.2,30.8,9.8,597.92
16/04/2020,IN,Hyderabad,no2,120,0.5,16.9,7.8,203.45
27/04/2020,IN,Hyderabad,no2,119,0.2,24,4.8,578.34
03/05/2020,IN,Hyderabad,no2,120,0.2,27,7.9,544.56
10/01/2020,IN,Hyderabad,no2,120,4.6,33.8,12.5,362.54
18/01/2020,IN,Hyderabad,no2,91,3.9,33.8,11.3,608.8
26/01/2020,IN,Hyderabad,no2,96,2.6,42.1,19.8,1010.09
10/03/2020,IN,Hyderabad,no2,120,0.4,22.8,8.1,310.37
08/04/2020,IN,Hyderabad,no2,71,0.3,23.1,5.9,405.01
22/04/2020,IN,Hyderabad,no2,120,1,22.6,9.1,446.15
25/06/2020,IN,Hyderabad,no2,111,1.5,27.2,9.2,358.71
30/12/2019,IN,Hyderabad,no2,86,3.8,30.8,13.2,638.43
20/01/2020,IN,Hyderabad,no2,86,4.2,33.3,13.3,527.46
29/01/2020,IN,Hyderabad,no2,110,0.7,45.4,14.9,900.18
21/02/2020,IN,Hyderabad,no2,96,2,24.4,7.9,293.23
30/03/2020,IN,Hyderabad,no2,116,0.1,26,6.1,576.49
02/06/2020,IN,Hyderabad,no2,120,2.2,21.4,9.5,261.2
15/01/2020,IN,Hyderabad,no2,72,3.4,31.8,8.8,743.63
25/01/2020,IN,Hyderabad,no2,111,2.7,45.3,20.8,1119.87
23/02/2020,IN,Hyderabad,no2,96,2.2,21,9.9,232.58
06/03/2020,IN,Hyderabad,no2,120,2.2,28.5,8.9,332.28
12/05/2020,IN,Hyderabad,no2,120,1.9,27.6,11.1,578.37
18/05/2020,IN,Hyderabad,no2,109,0.8,25.9,9.2,561.02
06/01/2020,IN,Hyderabad,no2,111,4.5,31.9,16.1,433.17
27/01/2020,IN,Hyderabad,no2,109,2.8,37.1,15,761.36
20/02/2020,IN,Hyderabad,no2,96,4,23.1,10.5,232.36
07/03/2020,IN,Hyderabad,no2,120,1.1,25.9,9.5,279.45
22/05/2020,IN,Hyderabad,no2,112,2.3,47.3,12.7,1122.79
23/01/2020,IN,Hyderabad,no2,120,3.6,38.4,20.1,765.73
12/03/2020,IN,Hyderabad,no2,120,3.3,27.4,11.9,338.79
21/04/2020,IN,Hyderabad,no2,120,1,34.6,12.9,513.34
13/06/2020,IN,Hyderabad,no2,120,1,14.2,6.8,164.12
14/06/2020,IN,Hyderabad,no2,120,1,14.4,7.2,159.73
02/02/2020,IN,Hyderabad,no2,94,1.1,27.3,12.4,456.31
24/02/2020,IN,Hyderabad,no2,96,1.8,35.4,11.7,445.74
24/04/2020,IN,Hyderabad,no2,120,1.1,22.5,6.6,454.5
29/04/2020,IN,Hyderabad,no2,115,0.8,23.8,5.6,560.65
20/05/2020,IN,Hyderabad,no2,120,2.3,37.5,9.6,749.79
24/05/2020,IN,Hyderabad,no2,120,1.7,28.7,8.7,541.19
25/05/2020,IN,Hyderabad,no2,119,1.3,31.1,7.5,506.88
19/06/2020,IN,Hyderabad,no2,119,0.9,21.6,7.3,192.49
31/12/2019,IN,Hyderabad,no2,107,2.3,31.9,14.6,600.26
27/03/2020,IN,Hyderabad,no2,103,0.1,12.1,2.4,149.09
17/04/2020,IN,Hyderabad,no2,117,1.1,21.2,8.1,438.58
27/05/2020,IN,Hyderabad,no2,109,1.3,27.3,8.4,520.65
12/06/2020,IN,Hyderabad,no2,111,1.5,13.7,7.8,143.77
16/06/2020,IN,Hyderabad,no2,120,0.8,14.1,5.9,182.84
31/01/2020,IN,Hyderabad,no2,94,1.1,45.4,13.7,866.23
09/02/2020,IN,Hyderabad,no2,120,2.1,476.9,11.3,32100.4
13/05/2020,IN,Hyderabad,no2,120,2.2,25.7,7.3,530.18
15/06/2020,IN,Hyderabad,no2,120,0.9,14.3,7.7,162.85
22/06/2020,IN,Hyderabad,no2,109,0.8,24.7,7.7,204.95
03/02/2020,IN,Hyderabad,no2,109,2.1,26.8,13.4,371.44
21/03/2020,IN,Hyderabad,no2,120,0.3,34.3,8.8,633.79
22/03/2020,IN,Hyderabad,no2,115,0.1,25.7,5.8,351.54
04/04/2020,IN,Hyderabad,no2,91,0.2,33,6.5,957.8
20/04/2020,IN,Hyderabad,no2,120,0.5,30.3,8.3,504.85
