,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
3020,202464,2021-05-11,IN,Hyderabad,no2,116,0.3,21.9,7.6,290.31
3021,202465,2021-05-25,IN,Hyderabad,no2,101,0.1,34.0,7.7,627.92
3022,202466,2021-01-25,IN,Hyderabad,no2,96,2.3,30.9,11.8,378.88
3023,202467,2021-03-23,IN,Hyderabad,no2,120,2.6,39.2,12.4,1044.18
3024,202468,2021-05-10,IN,Hyderabad,no2,119,0.4,28.2,10.4,473.82
3025,202469,2021-05-06,IN,Hyderabad,no2,120,0.6,31.8,10.2,400.44
3026,202470,2021-06-01,IN,Hyderabad,no2,111,0.2,20.6,6.6,226.85
3027,202471,2021-06-05,IN,Hyderabad,no2,109,0.1,19.7,6.3,212.63
3028,202472,2021-01-19,IN,Hyderabad,no2,111,3.2,40.0,15.1,1019.17
3029,202473,2021-03-05,IN,Hyderabad,no2,120,2.3,46.9,13.4,1395.46
3030,202474,2021-03-09,IN,Hyderabad,no2,115,2.0,39.9,13.2,846.17
3031,202475,2021-04-23,IN,Hyderabad,no2,120,0.6,29.3,10.6,494.43
3032,202476,2021-06-08,IN,Hyderabad,no2,113,0.1,20.7,5.1,211.27
3033,202477,2021-04-20,IN,Hyderabad,no2,120,3.2,38.9,16.3,536.7
3034,202478,2021-05-20,IN,Hyderabad,no2,111,0.1,19.2,8.4,219.5
3035,202479,2021-01-04,IN,Hyderabad,no2,120,3.2,47.5,13.1,1997.01
3036,202480,2021-01-22,IN,Hyderabad,no2,96,3.9,43.6,17.1,771.96
3037,202481,2021-02-26,IN,Hyderabad,no2,119,1.0,71.2,25.1,2283.66
3038,202482,2021-03-06,IN,Hyderabad,no2,114,1.1,47.6,13.9,1558.8
3039,202483,2021-03-12,IN,Hyderabad,no2,93,1.3,40.0,12.0,1063.3
3040,202484,2021-03-20,IN,Hyderabad,no2,120,3.4,44.4,13.9,1322.28
3041,202485,2021-05-24,IN,Hyderabad,no2,107,0.2,17.6,8.4,213.06
3042,202486,2021-02-16,IN,Hyderabad,no2,117,2.0,55.5,15.8,2101.61
3043,202487,2021-04-14,IN,Hyderabad,no2,90,1.1,37.4,12.1,608.33
3044,202488,2021-05-21,IN,Hyderabad,no2,113,0.2,18.2,8.5,239.79
3045,202489,2021-04-01,IN,Hyderabad,no2,120,0.5,62.6,18.5,2039.82
3046,202490,2021-04-03,IN,Hyderabad,no2,120,1.2,60.0,19.5,1614.67
3047,202491,2021-01-01,IN,Hyderabad,no2,113,4.1,47.9,12.0,1890.74
3048,202492,2021-01-23,IN,Hyderabad,no2,90,4.6,33.9,12.7,455.46
3049,202493,2021-02-12,IN,Hyderabad,no2,96,3.0,33.9,14.6,620.28
3050,202494,2021-03-14,IN,Hyderabad,no2,120,1.6,44.4,15.9,1465.85
3051,202495,2021-03-22,IN,Hyderabad,no2,120,3.7,60.8,20.0,1531.22
3052,202496,2021-03-30,IN,Hyderabad,no2,120,1.7,69.1,11.4,1906.27
3053,202497,2021-04-27,IN,Hyderabad,no2,120,1.3,33.3,11.0,714.7
3054,202498,2021-05-03,IN,Hyderabad,no2,105,0.8,43.2,10.4,656.93
3055,202499,2021-02-09,IN,Hyderabad,no2,120,6.3,64.6,28.0,2170.05
3056,202500,2021-02-22,IN,Hyderabad,no2,110,4.2,43.4,18.6,954.51
3057,202501,2021-04-13,IN,Hyderabad,no2,97,1.8,35.1,13.1,698.31
3058,202502,2021-04-16,IN,Hyderabad,no2,103,2.9,41.7,16.2,879.64
