City,date,pm25,pm10,o3,co
Pune,26/05/2020,73,69,82,78
Pune,27/05/2020,75,60,82,85
Pune,28/05/2020,66,56,80,81
Pune,29/05/2020,62,60,76,95
Pune,30/05/2020,66,61,87,64
Pune,31/05/2020,67,55,85,56
Pune,01/06/2020,61,52,79,45
Pune,02/06/2020,62,53,80,46
Pune,03/06/2020,42,31,76,45
Pune,04/06/2020,29,36,90,51
Pune,05/06/2020,40,50,90,29
Pune,06/06/2020,55,42,88,27
Delhi,01/01/2020,444,482,4,27
Delhi,02/01/2020,419,377,3,25
Delhi,03/01/2020,355,245,4,21
Delhi,04/01/2020,286,204,4,16
Delhi,05/01/2020,272,197,3,17
Delhi,06/01/2020,250,180,7,19
Delhi,07/01/2020,229,108,3,16
Delhi,08/01/2020,207,102,5,13
Delhi,09/01/2020,182,153,6,17
Delhi,10/01/2020,214,200,7,20
Delhi,11/01/2020,246,301,7,23
Delhi,12/01/2020,309,262,7,24
Delhi,13/01/2020,318,115,4,16
Delhi,14/01/2020,197,121,4,17
Delhi,15/01/2020,195,134,2,18
Delhi,16/01/2020,232,112,2,19
Delhi,17/01/2020,203,131,2,19
Delhi,18/01/2020,208,131,2,17
Delhi,19/01/2020,215,178,3,19
Delhi,20/01/2020,244,324,5,28
Delhi,21/01/2020,353,206,3,24
Delhi,22/01/2020,287,112,2,16
Delhi,23/01/2020,165,122,2,17
Delhi,24/01/2020,176,188,2,21
Delhi,25/01/2020,239,263,3,23
Delhi,26/01/2020,322,280,3,31
Delhi,27/01/2020,333,164,2,19
Delhi,28/01/2020,201,136,3,16
Delhi,29/01/2020,173,139,3,17
Delhi,30/01/2020,184,144,2,19
Delhi,31/01/2020,191,168,2,18
Delhi,01/02/2020,201,162,2,19
Delhi,02/02/2020,219,233,2,20
Delhi,03/02/2020,247,309,3,25
Delhi,04/02/2020,286,197,3,18
Delhi,05/02/2020,237,155,3,18
Delhi,06/02/2020,214,167,3,19
Delhi,07/02/2020,214,155,2,18
Delhi,08/02/2020,234,179,2,20
Delhi,09/02/2020,249,236,3,19
Delhi,10/02/2020,266,255,2,21
Delhi,11/02/2020,258,205,4,12
Delhi,12/02/2020,252,136,2,11
Delhi,13/02/2020,182,143,2,10
Delhi,14/02/2020,166,126,2,10
Delhi,15/02/2020,173,172,2,14
Delhi,16/02/2020,236,217,3,16
Delhi,17/02/2020,257,165,2,13
Delhi,18/02/2020,204,162,31,11
Delhi,19/02/2020,179,189,25,8
Delhi,20/02/2020,188,80,10,6
Delhi,21/02/2020,136,101,11,10
Delhi,22/02/2020,155,122,11,9
Delhi,23/02/2020,181,116,12,9
Delhi,24/02/2020,166,157,11,20
Delhi,25/02/2020,217,222,5,24
Delhi,26/02/2020,218,223,6,25
Delhi,27/02/2020,200,145,4,17
Delhi,28/02/2020,174,122,2,16
Delhi,29/02/2020,154,106,4,18
Delhi,01/03/2020,138,168,4,22
Delhi,02/03/2020,189,146,1,22
Delhi,03/03/2020,162,174,9,17
Delhi,04/03/2020,163,88,2,15
Delhi,05/03/2020,121,64,2,14
Delhi,06/03/2020,112,151,2,21
Delhi,07/03/2020,170,142,4,21
Delhi,08/03/2020,171,110,2,16
Delhi,09/03/2020,149,114,5,16
Delhi,10/03/2020,172,94,2,15
Delhi,11/03/2020,149,139,6,18
Delhi,12/03/2020,155,165,1,19
Delhi,13/03/2020,163,81,1,16
Delhi,14/03/2020,129,107,2,16
Delhi,15/03/2020,158,109,2,16
Delhi,16/03/2020,141,129,1,17
Delhi,17/03/2020,154,121,3,16
Delhi,18/03/2020,150,169,1,20
Delhi,19/03/2020,194,171,1,24
Delhi,20/03/2020,175,153,1,23
Delhi,21/03/2020,173,137,2,27
Delhi,22/03/2020,180,85,1,23
Delhi,23/03/2020,137,76,2,24
Delhi,24/03/2020,135,62,2,37
Delhi,25/03/2020,114,55,2,25
Delhi,26/03/2020,115,56,3,26
Delhi,27/03/2020,116,57,4,27
