,Date,Country,City,Specie,count,min,max,median,variance
3054,17/05/2020,IN,Hyderabad,no2,105,2.4,27.0,9.6,550.83
3055,31/05/2020,IN,Hyderabad,no2,119,1.4,33.4,10.2,657.59
3056,06/06/2020,IN,Hyderabad,no2,103,1.7,24.2,8.6,236.12
3057,08/01/2020,IN,Hyderabad,no2,120,1.3,35.7,9.4,606.32
3058,05/02/2020,IN,Hyderabad,no2,95,1.7,32.1,15.8,554.32
3059,17/02/2020,IN,Hyderabad,no2,104,4.0,45.3,19.5,1139.01
3060,23/03/2020,IN,Hyderabad,no2,119,0.2,14.4,3.6,151.53
3061,29/03/2020,IN,Hyderabad,no2,90,0.1,74.8,6.2,1207.52
3062,15/04/2020,IN,Hyderabad,no2,120,0.1,15.6,7.3,211.12
3063,01/06/2020,IN,Hyderabad,no2,120,2.4,57.7,12.3,717.8
3064,11/06/2020,IN,Hyderabad,no2,102,1.5,22.0,7.6,227.61
3065,21/06/2020,IN,Hyderabad,no2,105,1.1,21.8,7.6,178.04
3066,05/03/2020,IN,Hyderabad,no2,120,3.7,38.7,14.5,548.77
3067,31/03/2020,IN,Hyderabad,no2,117,0.2,25.5,7.1,570.35
3068,19/04/2020,IN,Hyderabad,no2,120,0.6,24.3,6.0,577.99
3069,02/05/2020,IN,Hyderabad,no2,104,0.9,22.1,7.8,463.81
3070,01/01/2020,IN,Hyderabad,no2,113,1.9,34.6,8.8,525.85
3071,22/01/2020,IN,Hyderabad,no2,111,3.4,38.5,11.4,866.79
3072,08/02/2020,IN,Hyderabad,no2,120,1.0,498.9,10.8,35140.3
3073,15/02/2020,IN,Hyderabad,no2,111,3.2,87.3,26.1,1950.17
3074,18/04/2020,IN,Hyderabad,no2,111,1.5,31.0,7.0,611.09
3075,15/03/2020,IN,Hyderabad,no2,120,2.0,25.2,10.3,253.65
3076,14/05/2020,IN,Hyderabad,no2,120,1.1,24.3,6.3,423.09
3077,09/01/2020,IN,Hyderabad,no2,120,2.0,45.9,10.4,668.24
3078,24/01/2020,IN,Hyderabad,no2,120,3.9,44.3,22.5,1123.99
3079,06/02/2020,IN,Hyderabad,no2,107,2.7,416.5,14.1,19204.3
3080,12/02/2020,IN,Hyderabad,no2,119,3.7,489.6,15.0,34150.2
3081,01/04/2020,IN,Hyderabad,no2,100,0.1,26.5,6.3,632.41
3082,28/05/2020,IN,Hyderabad,no2,100,0.9,30.6,8.4,588.17
3083,27/06/2020,IN,Hyderabad,no2,119,1.4,20.5,8.7,209.47
3084,10/06/2020,IN,Hyderabad,no2,105,1.2,20.2,7.3,187.32
3085,23/06/2020,IN,Hyderabad,no2,111,1.0,36.0,7.8,359.88
3086,13/01/2020,IN,Hyderabad,no2,73,3.2,48.5,21.4,1178.91
3087,16/01/2020,IN,Hyderabad,no2,66,1.5,34.0,7.8,836.25
3088,19/01/2020,IN,Hyderabad,no2,72,2.0,32.7,10.2,601.6
3089,26/03/2020,IN,Hyderabad,no2,111,0.1,13.3,2.2,145.37
3090,02/04/2020,IN,Hyderabad,no2,93,0.2,25.9,7.4,697.16
3091,17/06/2020,IN,Hyderabad,no2,120,0.8,15.1,7.1,196.28
3092,23/05/2020,IN,Hyderabad,no2,120,1.9,36.8,13.0,796.63
3093,26/02/2020,IN,Hyderabad,no2,96,2.8,28.2,12.9,433.49
3094,27/02/2020,IN,Hyderabad,no2,96,2.8,29.5,14.7,394.26
3095,02/03/2020,IN,Hyderabad,no2,120,2.3,32.8,14.7,491.69
3096,10/04/2020,IN,Hyderabad,no2,95,0.9,91.6,6.5,4874.14
3097,28/04/2020,IN,Hyderabad,no2,114,0.8,23.6,3.8,549.94
3098,30/04/2020,IN,Hyderabad,no2,120,1.6,40.3,6.9,711.13
3099,06/05/2020,IN,Hyderabad,no2,120,1.1,23.3,6.1,478.7
3100,03/06/2020,IN,Hyderabad,no2,120,1.4,17.1,8.2,257.71
3101,07/01/2020,IN,Hyderabad,no2,120,2.9,28.6,11.8,447.56
3102,11/01/2020,IN,Hyderabad,no2,103,4.8,46.8,17.4,893.94
3103,04/03/2020,IN,Hyderabad,no2,120,1.7,33.1,11.7,498.12
3104,25/03/2020,IN,Hyderabad,no2,112,0.1,16.1,3.1,143.96
3105,25/04/2020,IN,Hyderabad,no2,119,0.3,22.1,9.8,470.66
3106,15/05/2020,IN,Hyderabad,no2,120,0.4,24.6,7.1,458.07
3107,05/06/2020,IN,Hyderabad,no2,120,1.7,24.3,9.5,315.6
3108,14/02/2020,IN,Hyderabad,no2,120,2.5,59.1,27.3,2220.53
3109,30/05/2020,IN,Hyderabad,no2,120,1.0,26.9,7.6,567.11
3110,09/06/2020,IN,Hyderabad,no2,96,1.8,25.7,5.8,197.15
3111,18/06/2020,IN,Hyderabad,no2,114,0.6,14.1,6.6,192.7
3112,20/06/2020,IN,Hyderabad,no2,120,1.2,15.5,7.6,147.56
3113,05/01/2020,IN,Hyderabad,no2,113,4.0,32.5,14.0,445.93
3114,01/03/2020,IN,Hyderabad,no2,120,2.5,31.7,10.8,447.87
3115,08/06/2020,IN,Hyderabad,no2,96,1.8,29.9,5.5,221.98
3116,24/03/2020,IN,Hyderabad,no2,120,0.1,13.1,2.3,143.93
3117,07/04/2020,IN,Hyderabad,no2,87,0.4,43.5,5.5,1265.47
3118,09/04/2020,IN,Hyderabad,no2,85,0.3,31.4,6.6,883.31
3119,04/06/2020,IN,Hyderabad,no2,120,1.0,17.4,6.4,291.44
3120,24/06/2020,IN,Hyderabad,no2,96,1.1,26.3,9.3,272.29
3121,17/01/2020,IN,Hyderabad,no2,85,1.8,33.7,11.7,778.27
3122,18/02/2020,IN,Hyderabad,no2,119,0.9,53.3,20.3,1563.45
3123,08/03/2020,IN,Hyderabad,no2,120,1.2,22.0,7.8,251.92
